LeafID,TreeID,site,species,DBH,toughness,thickness,hydrated_mass,dry_mass,water_content,water_content_percent,leaf_area,SLA,imageJ notes ,damage_area,percent_damage,damage notes,measurement notes
TWFG14.1,TWFG14,Tower0,Fagus grandifolia,53.8,2.55,0.09,0.3906,0.1768,0.2138,54.73630312,56.526,319.7171946,,1.77,3.13130241,,
TWFG14.2,TWFG14,Tower0,Fagus grandifolia,53.8,2.55,0.09,0.3346,0.1486,0.186,55.5887627,50.608,340.5652759,,0.881,1.740831489,,
TWFG14.3,TWFG14,Tower0,Fagus grandifolia,53.8,2.35,0.14,0.1702,0.0789,0.0913,53.64277321,30.248,383.3713561,,0.251,0.829806929,,thickness measured through lateral vein
TWFG14.4,TWFG14,Tower0,Fagus grandifolia,53.8,2.4,0.17,0.2638,0.1185,0.1453,55.07960576,43.965,371.0126582,,,0,,thickness measured through lateral vein
TWFG14.5,TWFG14,Tower0,Fagus grandifolia,53.8,2.45,0.09,0.3143,0.1426,0.1717,54.62933503,47.346,332.0196353,,,0,,
TWFG15.1,TWFG15,Tower0,Fagus grandifolia,41.4,2.75,0.09,0.3741,0.1646,0.2095,56.00106923,60.23,365.9173755,maybe >10% damage on leaf edge,3.522,5.84758426,,
TWFG15.2,TWFG15,Tower0,Fagus grandifolia,41.4,1.6,0.09,0.287,0.1231,0.1639,57.10801394,53.036,430.8367181,,0.341,0.642959499,,
TWFG15.3,TWFG15,Tower0,Fagus grandifolia,41.4,2.05,0.08,0.3137,0.1364,0.1773,56.51896717,60.665,444.7580645,,0.066,0.108794198,,
TWFG15.4,TWFG15,Tower0,Fagus grandifolia,41.4,1.8,0.09,0.2076,0.0902,0.1174,56.55105973,33.679,373.3813747,,,0,,
TWFG15.5,TWFG15,Tower0,Fagus grandifolia,41.4,2.5,0.08,0.4182,0.1778,0.2404,57.4844572,68.995,388.048369,,,0,,
TWLS16.1,TWLS16,Tower0,Liquidambar styracuiflua,23.5,3.85,0.18,1.3256,0.3586,0.967,72.94809897,83.013,231.491913,,1.355,1.632274463,added 0.075 cm^2 for little dots,"All TWLS16 leaves had discoloration (unclear if they were like that before hydration, but may be due to the fridge) "
TWLS16.2,TWLS16,Tower0,Liquidambar styracuiflua,23.5,2.55,0.19,0.6695,0.1752,0.4943,73.83121733,43.195,246.5468037,,2.293,5.308484778,added 0.05 cm^2 for little dots,
TWLS16.3,TWLS16,Tower0,Liquidambar styracuiflua,23.5,3.75,0.18,1.0172,0.2746,0.7426,73.0043256,66.174,240.9832484,>10% damage on leaf edge,,0,,
TWLS16.4,TWLS16,Tower0,Liquidambar styracuiflua,23.5,3.43,0.21,0.9296,0.2755,0.6541,70.36359725,58.468,212.2250454,10% damage on leaf edge,,0,,"three toughness measurements: 5.8, 2.7, 1.2"
TWLS16.5,TWLS16,Tower0,Liquidambar styracuiflua,23.5,3.23,0.14,0.6906,0.2223,0.4683,67.81059948,55.402,249.2217724,,0.662,1.194902711,,
TWLS17.1,TWLS17,Tower0,Liquidambar styracuiflua,6.3,2.75,0.17,0.5488,0.1387,0.4101,74.72667638,41.367,298.2480173,,2.056,4.970145285,,
TWLS17.2,TWLS17,Tower0,Liquidambar styracuiflua,6.3,2.9,0.18,0.6182,0.1525,0.4657,75.33160789,40.183,263.495082,,,0,,mislabled as 17.1 (img 316)
TWLS17.3,TWLS17,Tower0,Liquidambar styracuiflua,6.3,2.15,0.19,0.2688,0.0721,0.1967,73.17708333,19.57,271.4285714,,,0,,mislabled as 17.2 (img 316)
TWLS17.4,TWLS17,Tower0,Liquidambar styracuiflua,6.3,2,0.18,0.2987,0.0782,0.2205,73.81988617,21.643,276.7647059,,,0,,mislabled as 17.3 (img 316)
TWLS17.5,TWLS17,Tower0,Liquidambar styracuiflua,6.3,1.75,0.18,0.6227,0.1792,0.4435,71.22209732,38.452,214.5758929,~7.5% damage on leaf edge,,0,,
TWLS18.1,TWLS18,Tower0,Liquidambar styracuiflua,14.1,2.85,0.15,0.5221,0.1916,0.3305,63.30204942,33.515,174.9217119,>10% damage on leaf edge,4.59,13.69536029,,scanned twice (img317 and corrected img318)
TWLS18.2,TWLS18,Tower0,Liquidambar styracuiflua,14.1,2.6,0.18,0.463,0.1034,0.3596,77.66738661,25.828,249.787234,,,0,,"scanned thrice (img318,319 and corrected img320)"
TWLS18.3,TWLS18,Tower0,Liquidambar styracuiflua,14.1,2.25,0.17,0.7844,0.3299,0.4545,57.94237634,49.971,151.4731737,,,0,,
TWLS18.4,TWLS18,Tower0,Liquidambar styracuiflua,14.1,2.65,0.15,0.4783,0.2037,0.2746,57.41166632,36.361,178.5027,,,0,,
TWLS18.5,TWLS18,Tower0,Liquidambar styracuiflua,14.1,3.15,0.16,0.6918,0.2454,0.4464,64.52732003,45.862,186.8867156,,1,2.559853473,,
TWLS19.1,TWLS19,Tower0,Liquidambar styracuiflua,13.8,2.5,0.18,0.6999,0.1784,0.5215,74.51064438,43.678,244.8318386,,0.43,0.984477311,,
TWLS19.2,TWLS19,Tower0,Liquidambar styracuiflua,13.8,3.05,0.18,1.5758,0.3987,1.1771,74.69856581,94.169,236.1901179,,,0,,
TWLS19.3,TWLS19,Tower0,Liquidambar styracuiflua,13.8,3.35,0.2,1.4076,0.3702,1.0374,73.69991475,77.009,208.0199892,,,0,,
TWLS19.4,TWLS19,Tower0,Liquidambar styracuiflua,13.8,1.8,0.2,1.1432,0.3468,0.7964,69.66410077,61.555,177.494233,>10% damage on leaf edge,,0,,only one toughness measurement
TWLS19.5,TWLS19,Tower0,Liquidambar styracuiflua,13.8,3.4,0.19,1.4694,0.4308,1.0386,70.68191098,87.235,202.4953575,,,0,,
TWLS20.1,TWLS20,Tower0,Liquidambar styracuiflua,13.4,3.15,0.17,1.5581,0.4957,1.0624,68.18561068,99.026,199.7700222,tip of leaf folded over :(,,0,,
TWLS20.2,TWLS20,Tower0,Liquidambar styracuiflua,13.4,3.5,0.16,1.0672,0.3024,0.7648,71.66416792,75.156,248.531746,,2.332,3.102879344,,
TWLS20.3,TWLS20,Tower0,Liquidambar styracuiflua,13.4,1.65,0.17,1.5129,0.3902,1.1227,74.20847379,89.063,228.2496156,,,0,,
TWLS20.4,TWLS20,Tower0,Liquidambar styracuiflua,13.4,2.55,0.18,1.1894,0.2956,0.8938,75.14713301,71.876,243.1529093,~10% damage on leaf edge,,0,,
TWLS20.5,TWLS20,Tower0,Liquidambar styracuiflua,13.4,3.95,0.16,1.3621,0.414,0.9481,69.60575582,88.376,213.468599,,,0,,
